Country,Product,Flow,2021
Canada,Renewables and waste,Commercial and public services (PJ),0.638001331
Canada,Renewables and waste,Other final consumption (PJ),1.788998706
Canada,Electricity,Production (PJ),0
Canada,Electricity,Imports (PJ),46.85759797
Canada,Electricity,Exports (PJ),-217.4148006
Canada,Electricity,Total energy supply (PJ),-170.5571985
Canada,Electricity,"Electricity, CHP and heat plants (PJ)",2314.306797
Canada,Electricity,"Oil refineries, transformation (PJ)",0
Canada,Electricity,Total final consumption (PJ),1888.675202
Canada,Electricity,Industry (PJ),665.6975994
Canada,Electricity,Transport (PJ),28.63800089
Canada,Electricity,Residential (PJ),633.3443996
Canada,Electricity,Commercial and public services (PJ),522.849602
Canada,Electricity,Other final consumption (PJ),38.14559986
Canada,Heat,Production (PJ),0
Canada,Heat,Imports (PJ),0
Canada,Heat,Exports (PJ),0
Canada,Heat,Total energy supply (PJ),0
Canada,Heat,"Electricity, CHP and heat plants (PJ)",23.10299686
Canada,Heat,"Oil refineries, transformation (PJ)",0
Canada,Heat,Total final consumption (PJ),23.10300105
Canada,Heat,Industry (PJ),21.86699907
Canada,Heat,Transport (PJ),0
Canada,Heat,Residential (PJ),0
Canada,Heat,Commercial and public services (PJ),0.446999515
Canada,Heat,Other final consumption (PJ),0.788998273
Chile,"Coal, peat and oil shale",Production (PJ),0.71770963
Chile,"Coal, peat and oil shale",Imports (PJ),273.3862709
Chile,"Coal, peat and oil shale",Exports (PJ),-1.740306222
Chile,"Coal, peat and oil shale",Total energy supply (PJ),264.6762657
Chile,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-252.8719641
Chile,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Chile,"Coal, peat and oil shale",Total final consumption (PJ),7.076881051
Chile,"Coal, peat and oil shale",Industry (PJ),7.019651682
Chile,"Coal, peat and oil shale",Transport (PJ),0
Chile,"Coal, peat and oil shale",Residential (PJ),0.018899215
Chile,"Coal, peat and oil shale",Commercial and public services (PJ),0.012602268
Chile,"Coal, peat and oil shale",Other final consumption (PJ),0.025732073
Chile,"Crude, NGL and feedstocks",Production (PJ),16.17659778
Chile,"Crude, NGL and feedstocks",Imports (PJ),348.3206125
Chile,"Crude, NGL and feedstocks",Exports (PJ),0
Chile,"Crude, NGL and feedstocks",Total energy supply (PJ),363.039199
Chile,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Chile,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-415.9574914
Chile,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Chile,"Crude, NGL and feedstocks",Industry (PJ),0
Chile,"Crude, NGL and feedstocks",Transport (PJ),0
Chile,"Crude, NGL and feedstocks",Residential (PJ),0
Chile,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Chile,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Chile,Oil products,Production (PJ),0
Chile,Oil products,Imports (PJ),379.6673097
Chile,Oil products,Exports (PJ),-37.37934428
Chile,Oil products,Total energy supply (PJ),322.1898475
Chile,Oil products,"Electricity, CHP and heat plants (PJ)",-27.37106684
Chile,Oil products,"Oil refineries, transformation (PJ)",405.7375796
Chile,Oil products,Total final consumption (PJ),642.9373632
Chile,Oil products,Industry (PJ),152.9010693
Chile,Oil products,Transport (PJ),385.5887428
Chile,Oil products,Residential (PJ),50.09862078
Chile,Oil products,Commercial and public services (PJ),26.10630992
Chile,Oil products,Other final consumption (PJ),28.24262043
Chile,Natural gas,Production (PJ),41.95393407
Chile,Natural gas,Imports (PJ),178.1634376
Chile,Natural gas,Exports (PJ),0
Chile,Natural gas,Total energy supply (PJ),221.0629563
Chile,Natural gas,"Electricity, CHP and heat plants (PJ)",-120.0754353
Chile,Natural gas,"Oil refineries, transformation (PJ)",0
Chile,Natural gas,Total final consumption (PJ),91.9458082
Chile,Natural gas,Industry (PJ),39.08468654
Chile,Natural gas,Transport (PJ),0.325959127
Chile,Natural gas,Residential (PJ),21.95080206
Chile,Natural gas,Commercial and public services (PJ),5.862872336
Chile,Natural gas,Other final consumption (PJ),24.72149232
Chile,Nuclear,Production (PJ),0
Chile,Nuclear,Imports (PJ),0
Chile,Nuclear,Exports (PJ),0
Chile,Nuclear,Total energy supply (PJ),0
Chile,Nuclear,"Electricity, CHP and heat plants (PJ)",0
Chile,Nuclear,"Oil refineries, transformation (PJ)",0
Chile,Nuclear,Total final consumption (PJ),0
Chile,Nuclear,Industry (PJ),0
Chile,Nuclear,Transport (PJ),0
Chile,Nuclear,Residential (PJ),0
Chile,Nuclear,Commercial and public services (PJ),0
Chile,Nuclear,Other final consumption (PJ),0
Chile,Renewables and waste,Production (PJ),484.223793
Chile,Renewables and waste,Imports (PJ),0
Chile,Renewables and waste,Exports (PJ),0
Chile,Renewables and waste,Total energy supply (PJ),485.0942999
Chile,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-359.5621998
Chile,Renewables and waste,"Oil refineries, transformation (PJ)",0
Chile,Renewables and waste,Total final consumption (PJ),134.9343633
Chile,Renewables and waste,Industry (PJ),54.67947402
Chile,Renewables and waste,Transport (PJ),0
Chile,Renewables and waste,Residential (PJ),76.07615729
Chile,Renewables and waste,Commercial and public services (PJ),0.610138177
Chile,Renewables and waste,Other final consumption (PJ),3.568598046
Chile,Electricity,Production (PJ),0
Chile,Electricity,Imports (PJ),0
Chile,Electricity,Exports (PJ),0
Chile,Electricity,Total energy supply (PJ),0
Chile,Electricity,"Electricity, CHP and heat plants (PJ)",316.8679599
Chile,Electricity,"Oil refineries, transformation (PJ)",0
Chile,Electricity,Total final consumption (PJ),274.753684
Chile,Electricity,Industry (PJ),161.7484644
Chile,Electricity,Transport (PJ),4.478452488
Chile,Electricity,Residential (PJ),53.85543642
Chile,Electricity,Commercial and public services (PJ),45.81052115
Chile,Electricity,Other final consumption (PJ),8.860813729
Chile,Heat,Production (PJ),0
Chile,Heat,Imports (PJ),0
Chile,Heat,Exports (PJ),0
Chile,Heat,Total energy supply (PJ),0
Chile,Heat,"Electricity, CHP and heat plants (PJ)",0
Chile,Heat,"Oil refineries, transformation (PJ)",0
Chile,Heat,Total final consumption (PJ),0
Chile,Heat,Industry (PJ),0
Chile,Heat,Transport (PJ),0
Chile,Heat,Residential (PJ),0
Chile,Heat,Commercial and public services (PJ),0
Chile,Heat,Other final consumption (PJ),0
Colombia,"Coal, peat and oil shale",Production (PJ),1606.272925
Colombia,"Coal, peat and oil shale",Imports (PJ),0
Colombia,"Coal, peat and oil shale",Exports (PJ),-1675.804825
Colombia,"Coal, peat and oil shale",Total energy supply (PJ),128.270753
Colombia,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-49.54277703
Colombia,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Colombia,"Coal, peat and oil shale",Total final consumption (PJ),93.47542627
Colombia,"Coal, peat and oil shale",Industry (PJ),91.08832644
Colombia,"Coal, peat and oil shale",Transport (PJ),0
Colombia,"Coal, peat and oil shale",Residential (PJ),2.387099833
Colombia,"Coal, peat and oil shale",Commercial and public services (PJ),0
Colombia,"Coal, peat and oil shale",Other final consumption (PJ),0
Colombia,"Crude, NGL and feedstocks",Production (PJ),1661.890313
Colombia,"Crude, NGL and feedstocks",Imports (PJ),13.00957665
Colombia,"Crude, NGL and feedstocks",Exports (PJ),-1040.514648
Colombia,"Crude, NGL and feedstocks",Total energy supply (PJ),857.7353343
Colombia,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",-11.45001877
Colombia,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-901.5676302
